iter	Passed	Remaining
0	97	97389
1	98	48975
2	99	33090
3	101	25311
4	102	20379
5	104	17253
6	106	15055
7	108	13474
8	111	12233
9	113	11259
10	116	10462
11	119	9800
12	121	9222
13	123	8705
14	125	8240
15	127	7843
16	129	7476
17	130	7146
18	132	6851
19	134	6586
20	136	6355
21	138	6145
22	139	5929
23	141	5748
24	142	5576
25	144	5408
26	145	5249
27	146	5098
28	148	4964
29	149	4838
30	150	4714
31	151	4592
32	153	4494
33	154	4394
34	155	4293
35	156	4192
36	157	4094
37	158	4002
38	158	3915
39	159	3835
40	160	3757
41	161	3681
42	162	3606
43	162	3536
44	163	3469
45	164	3403
46	164	3341
47	165	3287
48	166	3234
49	167	3180
50	168	3129
51	169	3087
52	170	3039
53	170	2991
54	171	2949
55	172	2907
56	173	2863
57	173	2821
58	174	2780
59	174	2740
60	175	2700
61	176	2664
62	176	2627
63	177	2596
64	178	2566
65	179	2533
66	179	2501
67	180	2470
68	180	2439
69	181	2410
70	182	2383
71	182	2356
72	183	2331
73	184	2307
74	185	2284
75	185	2261
76	186	2236
77	187	2213
78	187	2189
79	188	2166
80	188	2144
81	189	2122
82	190	2099
83	190	2082
84	191	2062
85	192	2043
86	192	2024
87	193	2004
88	194	1986
89	194	1968
90	195	1950
91	195	1934
92	196	1919
93	197	1903
94	198	1888
95	199	1874
96	199	1858
97	200	1844
98	200	1828
99	201	1814
100	202	1799
101	202	1786
102	203	1773
103	204	1759
104	204	1746
105	205	1732
106	206	1720
107	206	1706
108	207	1694
109	207	1682
110	208	1671
111	209	1661
112	210	1649
113	210	1637
114	211	1626
115	212	1615
116	212	1604
117	213	1593
118	213	1582
119	214	1572
120	215	1563
121	215	1553
122	216	1543
123	217	1534
124	217	1524
125	218	1515
126	218	1504
127	219	1495
128	220	1486
129	220	1476
130	221	1469
131	222	1461
132	222	1452
133	223	1444
134	224	1436
135	224	1427
136	225	1419
137	225	1411
138	226	1403
139	227	1395
140	227	1388
141	228	1380
142	229	1372
143	229	1364
144	230	1357
145	230	1349
146	231	1342
147	232	1335
148	232	1328
149	233	1321
150	233	1315
151	234	1309
152	235	1303
153	236	1296
154	236	1290
155	237	1283
156	237	1277
157	238	1270
158	239	1264
159	239	1258
160	240	1252
161	241	1247
162	241	1241
163	242	1235
164	242	1229
165	243	1223
166	244	1217
167	244	1211
168	245	1206
169	245	1200
170	246	1195
171	247	1190
172	247	1185
173	248	1180
174	249	1174
175	249	1169
176	250	1164
177	250	1158
178	251	1153
179	252	1148
180	252	1144
181	253	1140
182	254	1136
183	255	1132
184	256	1128
185	256	1123
186	257	1118
187	258	1114
188	258	1110
189	259	1106
190	260	1102
191	261	1098
192	261	1094
193	262	1090
194	263	1086
195	263	1082
196	264	1078
197	265	1074
198	266	1071
199	266	1067
200	267	1063
201	268	1060
202	269	1056
203	269	1052
204	270	1049
205	271	1045
206	272	1042
207	272	1039
208	273	1035
209	274	1031
210	274	1028
211	275	1024
212	276	1020
213	276	1017
214	277	1013
215	278	1010
216	279	1007
217	279	1003
218	280	1000
219	281	996
220	281	993
221	282	990
222	283	986
223	284	983
224	284	980
225	285	977
226	286	974
227	287	971
228	287	968
229	288	966
230	289	963
231	290	960
232	291	958
233	291	955
234	292	952
235	293	948
236	293	945
237	294	942
238	294	939
239	295	935
240	296	932
241	296	930
242	297	927
243	298	925
244	299	923
245	300	920
246	301	918
247	302	916
248	302	913
249	304	912
250	304	909
251	305	907
252	306	905
253	307	902
254	307	899
255	308	896
256	309	893
257	309	890
258	310	888
259	311	885
260	311	883
261	312	880
262	313	877
263	313	874
264	314	871
265	314	868
266	315	866
267	316	864
268	317	862
269	317	859
270	318	856
271	319	853
272	319	851
273	320	848
274	320	845
275	321	843
276	322	841
277	322	838
278	323	836
279	324	833
280	324	831
281	325	828
282	326	826
283	326	823
284	327	821
285	328	819
286	329	817
287	330	816
288	330	814
289	331	811
290	332	809
291	333	807
292	333	805
293	334	803
294	335	801
295	336	799
296	337	798
297	338	796
298	338	794
299	339	792
300	340	790
301	341	788
302	342	787
303	342	785
304	343	782
305	344	780
306	344	778
307	345	776
308	346	774
309	347	772
310	348	771
311	348	769
312	349	767
313	350	765
314	350	762
315	351	760
316	351	758
317	352	756
318	353	754
319	354	752
320	355	751
321	355	749
322	356	747
323	357	745
324	358	743
325	358	741
326	359	740
327	360	738
328	361	737
329	362	735
330	362	733
331	363	731
332	364	730
333	365	728
334	366	726
335	367	725
336	367	723
337	368	722
338	369	720
339	370	718
340	370	716
341	371	715
342	372	713
343	373	712
344	374	710
345	375	708
346	375	706
347	376	704
348	376	702
349	377	700
350	377	698
351	378	697
352	379	695
353	380	694
354	381	692
355	381	690
356	382	688
357	383	686
358	383	684
359	384	683
360	385	681
361	385	680
362	386	678
363	387	677
364	388	675
365	388	673
366	389	671
367	390	669
368	390	668
369	391	667
370	392	665
371	393	664
372	393	662
373	394	660
374	395	658
375	395	657
376	396	655
377	397	653
378	398	652
379	398	650
380	399	649
381	400	647
382	400	645
383	401	644
